// **************************************************************
// this section is till force including all the printable ASCII characters into the fontmap
// ### ASCII printable characters (32-127) ###
// !"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~
// ### ASCII extended characters (128-255) ###
// ¡¢£¤¥¦§¨©ª«¬	®¯°±²³´µ¶·¸¹º»¼½¾¿ÀÁÂÃÄÅÆÇÈÉÊËÌÍÎÏÐÑÒÓÔÕÖ×ØÙÚÛÜÝÞßàáâãäåæçèéêëìíîïðñòóôõö÷øùúûüýþÿ
// ### Latin Extended-A
// ĀāĂăĄąĆćĈĉĊċČčĎďĐđĒēĔĕĖėĘęĚěĜĝĞğĠġĢģĤĥĦħĨĩĪīĬĭĮįİıĲĳĴĵĶķĸĹĺĻļĽľĿŀŁłŃńŅņŇňŉŊŋŌōŎŏŐőŒœŔŕŖŗŘřŚśŜŝŞşŠšŢţŤťŦŧŨũŪūŬŭŮůŰűŲųŴŵŶŷŸŹźŻżŽžſ
// **************************************************************

//
//  **************************************************************
//  ***   Strings from Game/en/language.dll                    ***
//  **************************************************************
//

98 "1"
99 "0"
100 "1"
101 "1"

// String 213 is the font size for campaign intro/outro slides

213 "60"
214 "ELLER"
215 "OCH"

1001 "Age of Empires II"
1002 "X"
1003 "Age of Empires II Hjälp"
1004 "Age of Empires® II: The Age of Kings\n"
1005 "Betaversion (%s)"

//
//  **************************************************************
//  ***   Strings from Game/en/language_x1.dll                 ***
//  **************************************************************
//

1006 "Microsoft® Phoenix\n© && ℗ %s Microsoft Corporation. Alla rättigheter förbehållna.\nDet här programmet skyddas av Amerikansk lag och internationella\ncopyrightlagar beskrivna i „Om“-sektionen."
1007 "EULA.RTF"
1008 "WARRANTY.RTF"
1009 "EULAX.RTF"
1010 "WARRANTYX.RTF"
1011 "http://www.microsoft.com/games/conquerors"
1012 "http://www.ensemblestudios.com"
1101 "Laddar speldata ..."
1102 "Sätter upp nytt scenario ..."
1103 "Laddar scenario ..."
1104 "Sparar scenario ..."
1105 "Startar nytt spel ..."
1106 "Laddar sparat spel ..."
1107 "Sparar spel ..."
1108 "Väntar på andra spelare ..."
1109 "Startar spel"
1150 "Seger!"
1151 "Besegrad!"
1152 "besegrades"
1200 "Redo"
1201 "Dator"
1202 "Tom"
1203 "Laddar"
1204 "Väntar"
1205 "Okänd"
1210 "Spelare '%s' (%d) svarar inte ..."
1211 "Omsynkroniserar ... var god vänta."
1212 "Avsiktligt frånkoppling av Ser#%d  Cmd=%d '%c'."
1213 "Spelare %d - '%s' lämnade/frånkopplade."
1214 "Spelare '%s' (%d) svarar inte ..."
1215 "Sätter upp spel flerspelarspel ..."
1217 "Problem att kommunicera med %s ..."
1222 "Går med i flerspelarspel ..."
1223 "Tryck ESC om du inte kommit med i spelet inom 15 sekunder."
1224 "Lämnar flerspelarspel ..."
1225 "Tryck ESC om spelet inte frånkopplar inom 15 sekunder."
2001 "Fel"
2002 "Kunde ej initiera programmet. Avinstallera Age of Empires II och kör sedan Setup igen."
2003 "Kunde ej initiera grafiksystemet. Säkerställ att gitt grafikkort uppfyller minimisystemkraven."
2004 "Kunde ej initiera ljudsystemet."
2005 "Kunde ej initiera kommunikationssystemet. Säkerställ att du har DirectX 5.01 eller högre och att det är korrekt installerat."
2006 "Kunde ej skapa spel."
2007 "Kunde ej ladda speldata."
2008 "Du måste sätta i CD-skivan Age of Empires II: Conquerors Expansion CD och starta om för att kunna spela i enspelarläget."
2009 "Du måste ha en CD-skiva i CD-ROM-läsaren för att kunna spela spelet."
2010 "Du måste sätta i spelets CD-skiva för att kunna använda Kartredigeraren."
2011 "Age of Empires II kräver ett färgläge på 256 färger eller fler för att kuna köras. För att ändra färgläge, öppna Bildskärmsinställningarna i Kontrollpanelen."
2012 "Spelet avbröts eftersom det hamnat ur synk!"
2013 "Age of Empires II kräver DirectX 6.1a eller senare."
2014 "Age of Empires II kräver Microsoft Windows NT 4.0 med Service Pack 3 och uppdateringen DirectPlay 5.0a."
2015 "VARNING: Din dator har ont om ledigt minne eller utrymme på swap-filen. Du bör avsluta andra program och/eller fria upp mer ledigt diskutrymme.\n\nDu bör också öppna inställningarna för Virtuellt Minne\n i Kontrollpanelen."
2016 "Den här betautgåvan av The Conquerors Expansion har utgått."
2017 "Age of Empires II kräver att datorn har minst 32MB fysiskt RAM-minne för att kunna köra."
2018 "Kunde ej initiera progammet. Age of Empires II hittades inte."
2019 "The Conquerors Expansion upptäckte korrupta filer. Installera om och försök igen."
2300 "Datorspelarmeddelanden"
2301 "Din usling till förrädare! Jag skall hämnas på dig!"
2302 "Klokt att göra som jag anbeföll."
2303 "Ni har gjort ett klokt val -- tillsammans skall vi härska över världen."
2304 "Ack och ve! Vi kunde ha blivit ett oantastligt lag."
2305 "Hur vågar ni trotsa mig?! Förbered er på att dö!"
2306 "Ge mig ytterligare %d guld som gärd annars kommer jag att förinta er!"
2307 "Ge mig %d guld som gärd annars kommer jag att förinta er!"
2308 "Betalar ni mig en gärd av %d guld så kommer jag att alliera mig med er."
2309 "Betalar ni mig ytterligare en gärd av %d guld så kommer jag att alliera mig med er."
2310 "Min beslutsamhet att förinta ert imperie kommer inte att låta sig influeras av er ynka spottstyver!"
2311 "Ert imperie är värdigt min trohet."
2312 "%s anfaller mig --hjälp!"
2313 "Jag förbereder ett anfall på %s, hjälp gärna till."
2314 "Jag anfaller %s."
2315 "%s finns i det här området."
2316 "Jag bygger en bas i det här området."
2317 "Jag skickar mina trupper för att hjälpa er, %s!"
2318 "Jag förbereder att skicka er så många resurser som jag har råd med, %s."

2400 "********** TRIBE ERRORS **********"
2401 "Ett fel inträffade när spelet försökte startas."
2402 "Spelet kunde inte sparas."
2403 "Scenariot kunde inte sparas."
2404 "Spelet kunde inte laddas."
2405 "Scenariot kunde inte laddas."
2406 "Du blev frånkopplad från spelet på grund av ett synkroniseringsfel. Du kan ha tappat din nätverksanslutning."
2407 "Som värd kopplades du från spelet på grund av ett synkroniseringsfel. Du kan starta ett återskapat spel som värd igen."
2408 "Som klient kopplades du från spelet på grund av ett synkroniseringsfel. Du kan gå med i, men inte vara värd för, ett återskapat spel."
2410 "Kunde ej gå med i spelet."
2411 "Tappad synk detekterad..."
2412 "Spelet avbröts på grund av att din dator fick slut på diskutrymme."
2413 "Spelet avbröts på grund av att spelaren '%s' kom ur synk (ett fel inträffade). Spelet har avslutats och sparats för återskapande."
2414 "Felaktigt lösenord"
2415 "Kunde ej gå med i spelet. Inga lediga platser i lobbyn."
2416 "Du ligger märkbart efter servertiden. Det kan bli en lång fördröjning innan dina order utförs. Om detta forsätter bör du sänka dina inställningar."
2500 "Den här funktionen finns inte i provversionen."
2501 "Provversionen tillåter inte att du går vidare till Imperietiden."
2502 "Slumpkartsspel finns inte i provversionen."
2503 "Dödsmatchspel games finns inte i provversionen."
2504 "Imperietiden finns inte i provversionen."
2505 "Datorspelare finns ej tillgängliga för flerspelarspel i provversionen."
2506 "Detta scenario fungerar ej i provversionen."
2507 "Att ändra skärmstorlek är inte tillåtet i provversionen."
2510 "Flerspelarstök (8-Spelars)"
2511 "Karttyperna Migrering, Kratersjö, Nildelta och Jungelöar går inte att välja om spelet innehåller datorspelare."
2512 "Värden kör inte samma version av spelet. Alla måste köra exakt samma version för att kunna gå med i och spela ett flerspelarspel."
3001 "Inte tillräckligt med mat."
3002 "Inte tillräckligt med trä."
3003 "Inte tillräckligt med sten."
3004 "Inte tillräckligt med guld."
3005 "Du behöver bygga fler hus."
3006 "Inga hamnar att bedriva handel med."
3007 "För långt ifrån land för avlastning."
3008 "Inte tillräckligt med plats för att lasta av samtliga enheter."
3009 "%s gav dig en tribut med %d guld."
3010 "Inte nog med plats för att placera ut enhet."
3011 "Du kan ej bedriva handel med en fiende."
3012 "%s kopplade från."
3013 "%s gav upp."
3014 "%s besegrades."
3015 "%s gav dig en tribut med %d trä."
3016 "%s gav dig en tribut med %d mat."
3017 "%s gav dig en tribut med %d sten."
3018 "Kan ej reparera ... slut på resurser."
3019 "%s började bygga på ett Underverk!"
3020 "Du färdigställde ett Underverk. Du kommer att vinna om det håller i %d år!"
3021 "%s färdigställde ett Underverk. Ni kommer att vinna om det håller i %d år!"
3022 "%s färdigställde ett Underverk. Du kommer att förlora om det håller i %d år!"
3023 "Ditt Underverk raserades!"
3024 "%ss Underverk raserades!"
3025 "%s ändrade sin diplomatiska ställning gentemot dig till Neutral."
3026 "%s ändrade sin diplomatiska ställning gentemot dig till Allierad."
3027 "%s ändrade sin diplomatiska ställning gentemot dig till Fiende."
3028 "Alla reliker har inhämtats. Behåll dem i %d år för att vinna!"
3029 "Alla reliker har inhämtats. Du kommer att fölora om de behålls i %d år!"
3030 "Kontrollen över relikerna är förlorad!"
3032 "Lägg om Fiskfälla-kön är full."
3033 "Monumentet har erövrats. Behåll det i din ägo i %d år för att vinna!"
3034 "Monumentet har erövrats. Du kommer att förlora om det hålls i %d år!"
3035 "Kontrollen över monumentet har tappats!"
3036 "%s gick vidare till Feodaltiden."
3037 "%s gick vidare till Riddartiden."
3038 "%s gick vidare till Imperietiden."
3039 "Återsådds-kön är full."
3040 "Klicka på en plats för att gå dit."
3041 "Klicka på ett föremål eller en enhet att jobba med."
3042 "Klicka på föremålet eller enheten att anfalla."
3043 "Klicka på enheten som ska helas."
3044 "Klicka på enheten att konvertera."
3045 "Klicka på en plats att för att anfalla marken."
3046 "Du har nått ditt befolkningstak."
3047 "Inte tillräckligt stark tro för att utföra en konvertering."
3048 "Den enheten kan ej konverteras."
3049 "Du måste forska fram Frälsning (Kloster) innan du kan konvertera byggnader."
3050 "Den byggnaden kan inte konverteras."
3051 "Du kan inte garnisonera inuti byggnader i så dåligt skick."
3052 "Klicka på byggnaden eller båten att reparera."
3053 "Klicka där du vill lasta av transporten."
3054 "Du slutförde ett Underverk."
3055 "%s slutförde ett Underverk."
3056 "Alla reliker har inhämtats."
3058 "Du har börjat att bygga på ett Underverk!"
3059 "Spelhastighet ändrad av %s."
3060 "Spelet pausat/återupptaget av %s."
3061 "Byggnaden är i för dåligt skick för att forska fram teknologier eller skapa enheter."
3062 "Du måste bygga de byggnader som krävs innan du kan gå vidare till nästa tidsålder."
3063 "Otillräckligt med energi för att ombordstiga fartyget."
3064 "Klicka där du vill lasta av enheten/enheterna."
3065 "Byggnaden är full."
3066 "Transporten är full."
3067 "Målet är för nära för att anfallas."
3068 "Målet är för långt bort för att anfallas."
3069 "Murbräckan är full."
3070 "Du kan inte chatta efter det att du gett upp eller besegrats."
3071 "Klicka på enheten att vakta."
3072 "Klicka på enheten att följa."
3073 "Klicka på en plats för att patrullera där."
3074 "Klicka på en plats för att utforska den."
3075 "Du behöver fler hus för att kunna fortsätta producera enheter."
3076 "Enhetsproduktionen har avstannats eftersom att du nått ditt befolkningstak."
3077 "Du behöver mer mat för att fortsätta produktionen av enheter."
3078 "Du behöver mer trä för att fortsätta produktionen av enheter."
3079 "Du behöver mer sten för att fortsätta produktionen av enheter."
3080 "Du behöver mer guld för att fortsätta produktionen av enheter."
3083 "Inte tillräckligt med plats för att lasta av enheten."
3084 "Klicka på ett område för att bestämma samlingsplats."
3085 "Klicka på platsen där du vill packa upp."
3086 "Hjätar kan inte konverteras."
3087 "Forskning krävs innan du kan konvertera några enheter."
3088 "Denna bygnnadens produktionskö är full."
3089 "Kan ej lasta av enheten. Säkerställ att transporten befinner sig bredvid öppen mark."
3090 "Kan ej avgarnisonera enheten."
3091 "Du måste forksa fram Försoning (Kloster) innan du kan konvertera munkenheter."
